09:56:44.401 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/DayNightContext","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\DayNightContext.tsx"}
09:56:44.401 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/WeatherContext","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\WeatherContext.tsx"}
09:56:44.402 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/DayNightButton","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\DayNightButton.tsx"}
09:56:44.402 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/WeatherButton","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\WeatherButton.tsx"}
09:56:44.402 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/ui/PortfolioModal","from":"src\\app\\page.tsx","resolved":"src\\components\\ui\\PortfolioModal.tsx"}
09:56:44.402 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/ui/NavigationGuide","from":"src\\app\\page.tsx","resolved":"src\\components\\ui\\NavigationGuide.tsx"}
09:56:44.402 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/SceneContainer","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\SceneContainer.tsx"}
09:56:44.415 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"eslint.config.mjs","specifier":"eslint/config","names":["defineConfig","globalIgnores"],"hasNamespace":false,"hasDefault":false}
09:56:44.415 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"eslint.config.mjs","specifier":"eslint-config-next/core-web-vitals","names":[],"hasNamespace":false,"hasDefault":true}
09:56:44.415 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"eslint.config.mjs","specifier":"eslint-config-next/typescript","names":[],"hasNamespace":false,"hasDefault":true}
09:56:44.416 [DEBUG] [importResolver  ] import 추출 완료  {"file":"eslint.config.mjs","total":3}
09:56:44.484 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"eslint/config"}
09:56:44.537 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"eslint-config-next/core-web-vitals"}
09:56:44.541 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"eslint-config-next/typescript"}
09:56:44.554 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"next-env.d.ts","specifier":"./.next/dev/types/routes.d.ts","names":[],"hasNamespace":false,"hasDefault":false}
09:56:44.554 [DEBUG] [importResolver  ] import 추출 완료  {"file":"next-env.d.ts","total":1}
09:56:44.555 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./.next/dev/types/routes.d.ts","from":"next-env.d.ts","resolved":".next\\dev\\types\\routes.d.ts"}
09:56:44.561 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"next.config.ts","specifier":"next","names":["NextConfig"],"hasNamespace":false,"hasDefault":false}
09:56:44.561 [DEBUG] [importResolver  ] import 추출 완료  {"file":"next.config.ts","total":1}
09:56:44.562 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"next"}
09:56:44.570 [DEBUG] [importResolver  ] import 추출 완료  {"file":"postcss.config.mjs","total":0}
09:56:44.594 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"DayNightContext.tsx","specifier":"react","names":["createContext","useContext","useState","useCallback"],"hasNamespace":false,"hasDefault":false}
09:56:44.596 [DEBUG] [importResolver  ] import 추출 완료  {"file":"DayNightContext.tsx","total":1}
09:56:44.599 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"react"}
09:56:44.613 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"WeatherContext.tsx","specifier":"react","names":["createContext","useContext","useState","useCallback"],"hasNamespace":false,"hasDefault":false}
09:56:44.614 [DEBUG] [importResolver  ] import 추출 완료  {"file":"WeatherContext.tsx","total":1}
09:56:44.616 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"react"}
09:56:44.633 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"DayNightButton.tsx","specifier":"./DayNightContext","names":["useDayNight"],"hasNamespace":false,"hasDefault":false}
09:56:44.633 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"DayNightButton.tsx","specifier":"./WeatherContext","names":["useWeather"],"hasNamespace":false,"hasDefault":false}
09:56:44.633 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"DayNightButton.tsx","specifier":"react","names":["useState"],"hasNamespace":false,"hasDefault":false}
09:56:44.635 [DEBUG] [importResolver  ] import 추출 완료  {"file":"DayNightButton.tsx","total":3}
09:56:44.637 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./DayNightContext","from":"src\\components\\canvas\\DayNightButton.tsx","resolved":"src\\components\\canvas\\DayNightContext.tsx"}
09:56:44.638 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./WeatherContext","from":"src\\components\\canvas\\DayNightButton.tsx","resolved":"src\\components\\canvas\\WeatherContext.tsx"}
09:56:44.638 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"react"}
09:56:44.659 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"WeatherButton.tsx","specifier":"./WeatherContext","names":["useWeather"],"hasNamespace":false,"hasDefault":false}
09:56:44.660 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"WeatherButton.tsx","specifier":"./DayNightContext","names":["useDayNight"],"hasNamespace":false,"hasDefault":false}
09:56:44.660 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"WeatherButton.tsx","specifier":"react","names":["useState"],"hasNamespace":false,"hasDefault":false}
09:56:44.661 [DEBUG] [importResolver  ] import 추출 완료  {"file":"WeatherButton.tsx","total":3}
09:56:44.664 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./WeatherContext","from":"src\\components\\canvas\\WeatherButton.tsx","resolved":"src\\components\\canvas\\WeatherContext.tsx"}
09:56:44.664 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./DayNightContext","from":"src\\components\\canvas\\WeatherButton.tsx","resolved":"src\\components\\canvas\\DayNightContext.tsx"}
09:56:44.665 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"react"}
09:56:44.702 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"PortfolioModal.tsx","specifier":"react","names":["useEffect","useRef","useState"],"hasNamespace":false,"hasDefault":false}
09:56:44.702 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"PortfolioModal.tsx","specifier":"@/components/room/portfolioData","names":["ABOUT_DATA","SKILLS_DATA","PROJECTS_DATA","CONTACT_DATA"],"hasNamespace":false,"hasDefault":false}
09:56:44.716 [DEBUG] [importResolver  ] import 추출 완료  {"file":"PortfolioModal.tsx","total":2}
09:56:44.731 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"react"}
09:56:44.732 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/room/portfolioData","from":"src\\components\\ui\\PortfolioModal.tsx","resolved":"src\\components\\room\\portfolioData.ts"}
09:56:44.753 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"NavigationGuide.tsx","specifier":"react","names":["useState","useEffect"],"hasNamespace":false,"hasDefault":false}
09:56:44.757 [DEBUG] [importResolver  ] import 추출 완료  {"file":"NavigationGuide.tsx","total":1}
09:56:44.764 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"react"}
09:56:44.788 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SceneContainer.tsx","specifier":"react","names":["Suspense","useMemo","useState","useRef"],"hasNamespace":false,"hasDefault":false}
09:56:44.788 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SceneContainer.tsx","specifier":"@react-three/fiber","names":["Canvas","useFrame"],"hasNamespace":false,"hasDefault":false}
09:56:44.788 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SceneContainer.tsx","specifier":"@react-three/drei","names":["PerspectiveCamera","OrbitControls"],"hasNamespace":false,"hasDefault":false}
09:56:44.788 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SceneContainer.tsx","specifier":"three","names":[],"hasNamespace":true,"hasDefault":false}
09:56:44.788 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SceneContainer.tsx","specifier":"@/components/snowBackground/SnowBackground","names":[],"hasNamespace":false,"hasDefault":true}
09:56:44.788 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SceneContainer.tsx","specifier":"@/components/room/Room","names":[],"hasNamespace":false,"hasDefault":true}
