09:56:44.281 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"@/components/canvas/WeatherContext","names":["WeatherProvider"],"hasNamespace":false,"hasDefault":false}
09:56:44.281 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"@/components/canvas/DayNightButton","names":[],"hasNamespace":false,"hasDefault":true}
09:56:44.281 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"@/components/canvas/WeatherButton","names":[],"hasNamespace":false,"hasDefault":true}
09:56:44.281 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"@/components/ui/PortfolioModal","names":["ModalType"],"hasNamespace":false,"hasDefault":true}
09:56:44.281 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"@/components/ui/NavigationGuide","names":[],"hasNamespace":false,"hasDefault":true}
09:56:44.281 [DEBUG] [importResolver  ] dynamic import() 발견  {"file":"page.tsx","specifier":"@/components/canvas/SceneContainer"}
09:56:44.284 [DEBUG] [importResolver  ] import 추출 완료  {"file":"page.tsx","total":9}
09:56:44.284 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"app\\page.tsx","importCount":9}
09:56:44.299 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"next/dynamic"}
09:56:44.299 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"next/dynamic","from":"app\\page.tsx"}
09:56:44.349 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"react"}
09:56:44.349 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"react","from":"app\\page.tsx"}
09:56:44.350 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/DayNightContext","from":"app\\page.tsx","resolved":"src\\components\\canvas\\DayNightContext.tsx"}
09:56:44.350 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/canvas/DayNightContext","from":"app\\page.tsx","resolved":"src\\components\\canvas\\DayNightContext.tsx","hasNamespace":false,"hasDefault":false,"isSideEffect":false,"names":["DayNightProvider"]}
09:56:44.350 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\canvas\\DayNightContext.tsx"}
09:56:44.351 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/WeatherContext","from":"app\\page.tsx","resolved":"src\\components\\canvas\\WeatherContext.tsx"}
09:56:44.351 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/canvas/WeatherContext","from":"app\\page.tsx","resolved":"src\\components\\canvas\\WeatherContext.tsx","hasNamespace":false,"hasDefault":false,"isSideEffect":false,"names":["WeatherProvider"]}
09:56:44.351 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\canvas\\WeatherContext.tsx"}
09:56:44.355 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/DayNightButton","from":"app\\page.tsx","resolved":"src\\components\\canvas\\DayNightButton.tsx"}
09:56:44.355 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/canvas/DayNightButton","from":"app\\page.tsx","resolved":"src\\components\\canvas\\DayNightButton.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:44.355 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\canvas\\DayNightButton.tsx"}
09:56:44.359 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/WeatherButton","from":"app\\page.tsx","resolved":"src\\components\\canvas\\WeatherButton.tsx"}
09:56:44.359 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/canvas/WeatherButton","from":"app\\page.tsx","resolved":"src\\components\\canvas\\WeatherButton.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:44.359 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\canvas\\WeatherButton.tsx"}
09:56:44.362 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/ui/PortfolioModal","from":"app\\page.tsx","resolved":"src\\components\\ui\\PortfolioModal.tsx"}
09:56:44.362 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/ui/PortfolioModal","from":"app\\page.tsx","resolved":"src\\components\\ui\\PortfolioModal.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":["ModalType"]}
09:56:44.362 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\ui\\PortfolioModal.tsx"}
09:56:44.362 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/ui/NavigationGuide","from":"app\\page.tsx","resolved":"src\\components\\ui\\NavigationGuide.tsx"}
09:56:44.362 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/ui/NavigationGuide","from":"app\\page.tsx","resolved":"src\\components\\ui\\NavigationGuide.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:44.362 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\ui\\NavigationGuide.tsx"}
09:56:44.369 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/SceneContainer","from":"app\\page.tsx","resolved":"src\\components\\canvas\\SceneContainer.tsx"}
09:56:44.369 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/canvas/SceneContainer","from":"app\\page.tsx","resolved":"src\\components\\canvas\\SceneContainer.tsx","hasNamespace":true,"hasDefault":false,"isSideEffect":false,"names":[]}
09:56:44.369 [DEBUG] [unusedFiles     ] namespace/side-effect import → 전체 export safe  {"file":"src\\components\\canvas\\SceneContainer.tsx"}
09:56:44.369 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\canvas\\SceneContainer.tsx"}
