09:56:55.619 [INFO ] [circularDeps    ] 순환 참조 탐지 시작  {"totalNodes":31}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\materials.ts"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\structure\\Floor.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\room\\structure\\Walls.tsx","stackDepth":4}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\room\\decorations\\CatFrames.tsx","stackDepth":5}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\room\\decorations\\catTextures.ts","stackDepth":6}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\decorations\\catTextures.ts"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\decorations\\CatFrames.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\room\\decorations\\IconFrames.tsx","stackDepth":5}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\room\\decorations\\iconTextures.ts","stackDepth":6}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\decorations\\iconTextures.ts"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\decorations\\IconFrames.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\room\\decorations\\WallClock.tsx","stackDepth":5}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\decorations\\WallClock.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\structure\\Walls.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\room\\structure\\Moulding.tsx","stackDepth":4}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\structure\\Moulding.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\room\\furniture\\Desk.tsx","stackDepth":4}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\furniture\\Desk.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\room\\furniture\\Bed.tsx","stackDepth":4}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\furniture\\Bed.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\room\\furniture\\Storage.tsx","stackDepth":4}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\furniture\\Storage.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\room\\furniture\\SunbathingCat.tsx","stackDepth":4}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\furniture\\SunbathingCat.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\room\\furniture\\CatBowls.tsx","stackDepth":4}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\furniture\\CatBowls.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\room\\furniture\\Nightstand.tsx","stackDepth":4}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\furniture\\Nightstand.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\room\\furniture\\Trashcan.tsx","stackDepth":4}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\furniture\\Trashcan.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\Room.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\room\\Performance.ts","stackDepth":3}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\Performance.ts"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\canvas\\SceneContainer.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"app\\page.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] 루트 노드 DFS 시작  {"node":"src\\app\\page.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\app\\page.tsx","stackDepth":1}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\app\\page.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] 루트 노드 DFS 시작  {"node":"next-env.d.ts"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"next-env.d.ts","stackDepth":1}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":".next\\dev\\types\\routes.d.ts","stackDepth":2}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":".next\\dev\\types\\routes.d.ts"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"next-env.d.ts"}
09:56:55.620 [INFO ] [circularDeps    ] 순환 참조 탐지 완료  {"totalCycles":0,"cycles":[]}
