09:56:44.036 [INFO ] [unusedFiles     ] 분석 시작  {"projectRoot":"D:\\myRoom"}
09:56:44.362 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/ui/NavigationGuide","from":"app\\page.tsx","resolved":"src\\components\\ui\\NavigationGuide.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:44.362 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\ui\\NavigationGuide.tsx"}
09:56:44.369 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/canvas/SceneContainer","from":"app\\page.tsx","resolved":"src\\components\\canvas\\SceneContainer.tsx","hasNamespace":true,"hasDefault":false,"isSideEffect":false,"names":[]}
09:56:44.369 [DEBUG] [unusedFiles     ] namespace/side-effect import → 전체 export safe  {"file":"src\\components\\canvas\\SceneContainer.tsx"}
09:56:44.369 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\canvas\\SceneContainer.tsx"}
09:56:44.369 [DEBUG] [unusedFiles     ] BFS 방문  {"step":3,"file":"src\\app\\page.tsx","queueRemaining":12}
09:56:44.396 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"src\\app\\page.tsx","importCount":9}
09:56:44.400 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"next/dynamic","from":"src\\app\\page.tsx"}
09:56:44.401 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"react","from":"src\\app\\page.tsx"}
09:56:44.401 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/canvas/DayNightContext","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\DayNightContext.tsx","hasNamespace":false,"hasDefault":false,"isSideEffect":false,"names":["DayNightProvider"]}
09:56:44.401 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\canvas\\DayNightContext.tsx"}
09:56:44.401 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/canvas/WeatherContext","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\WeatherContext.tsx","hasNamespace":false,"hasDefault":false,"isSideEffect":false,"names":["WeatherProvider"]}
09:56:44.401 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\canvas\\WeatherContext.tsx"}
09:56:44.402 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/canvas/DayNightButton","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\DayNightButton.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:44.402 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\canvas\\DayNightButton.tsx"}
09:56:44.402 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/canvas/WeatherButton","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\WeatherButton.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:44.402 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\canvas\\WeatherButton.tsx"}
09:56:44.402 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/ui/PortfolioModal","from":"src\\app\\page.tsx","resolved":"src\\components\\ui\\PortfolioModal.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":["ModalType"]}
09:56:44.402 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\ui\\PortfolioModal.tsx"}
09:56:44.402 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/ui/NavigationGuide","from":"src\\app\\page.tsx","resolved":"src\\components\\ui\\NavigationGuide.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:44.402 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\ui\\NavigationGuide.tsx"}
09:56:44.402 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/canvas/SceneContainer","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\SceneContainer.tsx","hasNamespace":true,"hasDefault":false,"isSideEffect":false,"names":[]}
09:56:44.402 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\canvas\\SceneContainer.tsx"}
09:56:44.402 [DEBUG] [unusedFiles     ] BFS 방문  {"step":4,"file":"eslint.config.mjs","queueRemaining":18}
09:56:44.416 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"eslint.config.mjs","importCount":3}
09:56:44.484 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"eslint/config","from":"eslint.config.mjs"}
09:56:44.537 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"eslint-config-next/core-web-vitals","from":"eslint.config.mjs"}
09:56:44.541 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"eslint-config-next/typescript","from":"eslint.config.mjs"}
09:56:44.541 [DEBUG] [unusedFiles     ] BFS 방문  {"step":5,"file":"next-env.d.ts","queueRemaining":17}
09:56:44.554 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"next-env.d.ts","importCount":1}
09:56:44.555 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"./.next/dev/types/routes.d.ts","from":"next-env.d.ts","resolved":".next\\dev\\types\\routes.d.ts","hasNamespace":false,"hasDefault":false,"isSideEffect":true,"names":[]}
09:56:44.555 [DEBUG] [unusedFiles     ] namespace/side-effect import → 전체 export safe  {"file":".next\\dev\\types\\routes.d.ts"}
09:56:44.555 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":".next\\dev\\types\\routes.d.ts"}
09:56:44.555 [DEBUG] [unusedFiles     ] BFS 방문  {"step":6,"file":"next.config.ts","queueRemaining":17}
09:56:44.561 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"next.config.ts","importCount":1}
09:56:44.562 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"next","from":"next.config.ts"}
09:56:44.562 [DEBUG] [unusedFiles     ] BFS 방문  {"step":7,"file":"postcss.config.mjs","queueRemaining":16}
09:56:44.570 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"postcss.config.mjs","importCount":0}
09:56:44.571 [DEBUG] [unusedFiles     ] BFS 방문  {"step":8,"file":"app\\globals.css","queueRemaining":15}
09:56:44.571 [DEBUG] [unusedFiles     ] 에셋 파일 - 리프 노드로 처리 (파싱 스킵)  {"file":"app\\globals.css"}
09:56:44.571 [DEBUG] [unusedFiles     ] BFS 방문  {"step":9,"file":"src\\components\\canvas\\DayNightContext.tsx","queueRemaining":14}
09:56:44.596 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"src\\components\\canvas\\DayNightContext.tsx","importCount":1}
09:56:44.599 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"react","from":"src\\components\\canvas\\DayNightContext.tsx"}
09:56:44.599 [DEBUG] [unusedFiles     ] BFS 방문  {"step":10,"file":"src\\components\\canvas\\WeatherContext.tsx","queueRemaining":13}
09:56:44.614 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"src\\components\\canvas\\WeatherContext.tsx","importCount":1}
09:56:44.616 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"react","from":"src\\components\\canvas\\WeatherContext.tsx"}
09:56:44.616 [DEBUG] [unusedFiles     ] BFS 방문  {"step":11,"file":"src\\components\\canvas\\DayNightButton.tsx","queueRemaining":12}
09:56:44.635 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"src\\components\\canvas\\DayNightButton.tsx","importCount":3}
09:56:44.637 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"./DayNightContext","from":"src\\components\\canvas\\DayNightButton.tsx","resolved":"src\\components\\canvas\\DayNightContext.tsx","hasNamespace":false,"hasDefault":false,"isSideEffect":false,"names":["useDayNight"]}
09:56:44.638 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"./WeatherContext","from":"src\\components\\canvas\\DayNightButton.tsx","resolved":"src\\components\\canvas\\WeatherContext.tsx","hasNamespace":false,"hasDefault":false,"isSideEffect":false,"names":["useWeather"]}
09:56:44.638 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"react","from":"src\\components\\canvas\\DayNightButton.tsx"}
09:56:44.638 [DEBUG] [unusedFiles     ] BFS 방문  {"step":12,"file":"src\\components\\canvas\\WeatherButton.tsx","queueRemaining":11}
